                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69532,                0.65827,                0.97977,                0.79054,                 0.7812,                0.81947,                0.67091,                0.70266,                 0.8112,                0.96518,             0.00027471,             0.00027471,             0.00027471
                      2,                0.76297,                0.74108,                 1.0188,                0.73653,                0.70072,                0.76919,                0.62433,                0.73318,                 1.0277,                0.98912,             0.00054691,             0.00054691,             0.00054691
                      3,                0.78339,                0.85024,                   1.02,                0.78733,                0.69288,                  0.789,                0.64091,                 0.7238,                0.95142,                0.98337,             0.00081361,             0.00081361,             0.00081361
                      4,                0.78096,                0.89139,                 1.0205,                0.74884,                0.74579,                 0.7757,                0.61121,                0.77954,                0.96484,                 1.0305,             0.00080826,             0.00080826,             0.00080826
                      5,                0.78726,                0.92228,                 1.0292,                 0.7701,                0.69799,                0.78562,                0.64018,                 0.7286,                0.98286,                0.99918,             0.00080826,             0.00080826,             0.00080826
                      6,                0.79181,                0.92082,                 1.0316,                0.75716,                0.74587,                0.80337,                0.63769,                0.75682,                0.93682,                 1.0066,             0.00080001,             0.00080001,             0.00080001
                      7,                0.78756,                0.89368,                 1.0258,                 0.7012,                0.73782,                0.72866,                0.58611,                0.76511,                 1.1188,                 1.0154,             0.00079177,             0.00079177,             0.00079177
                      8,                 0.7974,                0.91264,                 1.0332,                0.80895,                0.69785,                0.80714,                0.65699,                 0.7148,                0.89419,                0.98562,             0.00078352,             0.00078352,             0.00078352
                      9,                0.79595,                0.88167,                 1.0333,                 0.7186,                0.67343,                 0.7193,                0.57296,                0.76506,                 1.1886,                 1.0116,             0.00077527,             0.00077527,             0.00077527
                     10,                0.78932,                0.83268,                 1.0328,                0.81376,                0.72062,                0.80215,                0.64473,                0.76652,                0.94664,                 1.0101,             0.00076703,             0.00076703,             0.00076703
                     11,                0.79077,                0.86159,                 1.0337,                0.77679,                0.75613,                0.81469,                0.66254,                0.72374,                0.83875,                0.98781,             0.00075878,             0.00075878,             0.00075878
                     12,                0.77255,                0.82884,                 1.0248,                0.76551,                0.73582,                0.80814,                0.65388,                0.72751,                 1.0081,                0.99849,             0.00075053,             0.00075053,             0.00075053
                     13,                0.77734,                0.82264,                 1.0214,                0.74893,                0.73329,                0.79773,                0.64677,                0.73682,                0.98766,                0.99676,             0.00074229,             0.00074229,             0.00074229
                     14,                0.77518,                 0.8139,                 1.0198,                0.77405,                0.72621,                0.79395,                0.64799,                0.71324,                0.97526,                0.97618,             0.00073404,             0.00073404,             0.00073404
                     15,                0.78968,                0.81502,                 1.0265,                  0.772,                0.79466,                0.83407,                0.67909,                0.72544,                0.83298,                0.98244,             0.00072579,             0.00072579,             0.00072579
                     16,                0.77339,                0.84104,                 1.0283,                0.76514,                 0.7556,                0.78721,                 0.6434,                0.71645,                0.92081,                 0.9747,             0.00071755,             0.00071755,             0.00071755
                     17,                 0.7634,                0.80445,                 1.0201,                0.75152,                0.72841,                0.76408,                0.62449,                0.72519,                0.97922,                0.98561,              0.0007093,              0.0007093,              0.0007093
                     18,                0.75033,                0.77291,                 1.0147,                0.81243,                0.74494,                0.80369,                0.64693,                0.72662,                0.94325,                0.98862,             0.00070105,             0.00070105,             0.00070105
                     19,                0.75219,                0.80423,                  1.009,                0.81317,                0.75959,                0.83316,                0.68159,                0.72328,                0.84005,                0.99078,             0.00069281,             0.00069281,             0.00069281
                     20,                0.77321,                0.78004,                 1.0285,                0.76238,                0.72312,                0.77783,                0.63629,                0.73134,                0.94908,                0.99496,             0.00068456,             0.00068456,             0.00068456
                     21,                0.74804,                0.72383,                 1.0123,                0.82173,                  0.765,                0.82203,                0.67318,                0.72402,                0.83895,                0.99447,             0.00067631,             0.00067631,             0.00067631
                     22,                0.75902,                0.73036,                 1.0163,                0.82441,                0.77007,                0.83055,                0.67904,                0.71698,                 0.8306,                0.98385,             0.00066807,             0.00066807,             0.00066807
                     23,                0.74263,                0.74237,                   1.01,                0.77179,                0.71417,                0.79378,                0.64992,                0.72316,                 1.0399,                0.99908,             0.00065982,             0.00065982,             0.00065982
                     24,                0.74752,                0.72242,                 1.0228,                0.82549,                0.74658,                0.82131,                0.67025,                0.73622,                0.82052,                0.99903,             0.00065157,             0.00065157,             0.00065157
                     25,                0.74441,                0.71316,                 1.0157,                0.77718,                0.79523,                0.82246,                0.67283,                0.71222,                0.89175,                0.98372,             0.00064333,             0.00064333,             0.00064333
                     26,                0.76505,                0.73891,                 1.0323,                0.81368,                0.78422,                0.84586,                0.69264,                0.71477,                 0.8095,                0.98045,             0.00063508,             0.00063508,             0.00063508
                     27,                0.74697,                 0.6821,                 1.0225,                0.82113,                0.76944,                0.82453,                0.67704,                0.70971,                 0.8151,                0.98035,             0.00062683,             0.00062683,             0.00062683
                     28,                0.74909,                0.70243,                 1.0063,                0.79475,                0.74654,                0.79355,                0.65305,                0.71535,                0.87657,                0.97057,             0.00061859,             0.00061859,             0.00061859
                     29,                0.75745,                0.66967,                 1.0035,                0.82789,                0.76058,                0.81598,                0.66845,                0.71165,                0.89198,                0.96944,             0.00061034,             0.00061034,             0.00061034
                     30,                0.73548,                0.71165,                 1.0106,                0.82395,                0.75162,                0.81444,                 0.6678,                0.70347,                0.84451,                0.98143,             0.00060209,             0.00060209,             0.00060209
                     31,                0.73969,                0.69114,                 1.0043,                0.80897,                0.79638,                0.84063,                0.69083,                0.71739,                0.80039,                0.98171,             0.00059385,             0.00059385,             0.00059385
                     32,                0.71519,                0.65687,                0.99429,                0.77832,                0.76152,                0.81453,                0.67107,                0.71531,                0.86569,                0.97708,              0.0005856,              0.0005856,              0.0005856
                     33,                0.74595,                0.68457,                 1.0103,                0.82801,                0.76804,                0.83441,                0.68406,                0.71265,                0.78451,                0.98259,             0.00057735,             0.00057735,             0.00057735
